Nimi,DigiRoad,Lisätietoa,Trimble,tieId
Ala-Räävelin yks.tie,Ala-Räävelintie,,to,5
Ansavaaran yks.tie,Ansavaara,,ke,6
Antinniemen yks.tie,Antinniemi,,to,7
Arvilan yks.tie,Arvilantie,,to,8
Eerolan yks.tie,Eerolantie,,to,9
Eskonojan yks.tie,Eskonojantie,,ke,11
Haasia-Ahon yks.tie,Haasia-ahontie,,to,12
Hanslammin yks.tie,Hanslammintie,,pe,16
Harjulan yksityistie,Harjulantie,,Ti,17
Heikkilän yks.tie,Heikkiläntie,,Ti,18
Heilumäen yks.tie,Heilumäentie,"Saman tiekunnan alla liittyviä teitä, joilla oma nimi",Ti,19
Hietanimen yks.tie,Hietaniementie,,to,23
Hietasen yksityistie,Hietasentie,,Ti,24
Hirniemen yks.tie,Hirniementie,,to,25
Immilän yks.tie,Immiläntie,,to,36
Iso-Rihun yks.tie,,,,39
Juholan yks.tie,Juholantie,,Ti,44
Kaijanniemen yks.tie,Kaijanniementie,,to,47
Kailaan yks.tie,Kailaantie,,pe,48
Kajaslammin yks.tie,Kajaslammintie,,pe,50
Kankaan yks.tie,Kankaantie,,Ti,51
Karikosken yks.tie,Karikoski,,ke,53
Kelloniemen yks.tie,Kelloniementie,,ke,56
Keskisen yks.tie,Keskisentie,,To,57
Ketlahden yks.tie,Ketlahdentie,,to,59
Kiekkasten yks.tie,Kiekkastentie,,to,61
Kirkkoportin yks.tie,Kirkkoportti,,to,63
Kiviojan yks.tie,Kiviojantie,,to,66
Koivurinteen yks.tie,Koivurinteentie,,ke,69
Komean yks.tie,Komeantie,,pe,73
Korpinmaantien yksityistie tiekunta,Korpinmaantie,,pe,#N/A
Korpinniemen yks.tie,Korpiniementie,,to,78
Koskionrannan yks.tie,Koskionrannantie,,pe,80
Kureniemen yks.tie,Kurenniementie,,to,83
Kutinojan yksityistie,Kutinojantie,,pe,85
Kuusirannan yks.tie,Kuusirannantie,,ke,86
Lahtisen yks.tie,Lahtisentie,,ke,87
Lakeasuon yks.tie,,,,89
Lamminmäen yks.tie,Lamminmäki,,to,90
Lampila-Hietal. yks.tie,Lampilantie,,to,91
Latomäen yks.tie,Latomäentie,,ke,93
Lehtistenniemen yk.tie,Lehtistenniemi,,to,95
Leporinteen yks.tie,Leporinne,,pe,97
Lintapellon yks.tie,,,,101
Lintumalahden yks.tie,Lintumalahti,,ke,103
Lintusalmen yks.tie,Lintusalmi,,to,104
Makkaramäen yks.tie,Makkaramäentie,,to,107
Malminharjun yks.tie,Malminharjuntie,,to,108
Matkuksen yks.tie,Matkuksentie,,ke,110
Metsä-Jokelan yks.tie,Metsä-Jokela,,to,112
Metsähuoneen yks.tie,Metsähuoneentie,,to,111
Muikkulahden yks.tie,Muikkulahti,,to,114
Musterinojan yks.tie,Musterinojantie,,ke,115
Myllykangas-Haikan yt,,,,119
Myllyniemen yks.tie,Myllyniementie,,to,122
Niemen yks.tie,Niementie,Tiehen liittyy pari saman tiekunnan alle kuuluvaa nimeämätöntä tietä,Ti,127
Niiniahon yks.tie,Niiniahontie,,to,128
Nuottniemen yks.tie,,,,131
Ohniemen yks.tie,,Ohinieni olisi,,133
Oinassillan yks.tie,Oinassillantie,,ke,134
Paason yks.tie,Paasontie,,Ti,137
Palajärven yks.tie,Palajärventie,,to,138
Palpasen yks.tie,,Iso-Palpasen vai Palpasentie,,140
Patakallion yksityistie,Patakalliontie,,to,143
Pekonniemen yks.tie,Pekonniemi,,to,145
Peltolan yks.tie,Peltolantie,,Ti,147
Piltin yks.tie,Piltintie,,to,149
Pirtinlahden yks.tie,Pirtinlahdentie,,ke,151
Pirtjärven yksityistie,Pirtjärventie,,to,152
Punakallion yks.tie,Punakallio,,pe,154
Pähkinän yks.tie,Pähkinäntie,,to,156
Pääsinniemen yks.tie,,,,159
Rantamäen yks.tie,Rantamäentie,,ke,165
Riihijärven yks.tie,Riihijärventie,,to,169
Riivalin yksityistie,Riivalintie,,to,171
Ristijärven yks.tie,Ristijärventie,Vaihtuu Patakallion tieksi,to,172
Ronin yks.tie,Roni,,Ti,177
Ronsillan yks.tie,Ronsilta,,to,178
Ruokosten yks.tie,Ruokostentie,,to,179
Rysänperän yks.tie,Rysänperä,,to,182
Saaren yks.tie,Saarentie,,Ti,183
Saarijärven yks.tie,Saarijärventie,,Ti,185
Saittalammen yks.tie,Saittalampi,,pe,186
Salmen yks.tie,Salmentie,,Ti,189
Sarven yks.tie,Sarventie,,to,191
Saukon yks.tie,Saukontie,Konttila ja Vähä-Rihuntie samaa tiekuntaa,ke,192
Savion yks.tie,Saviontie,,to,193
Sihvonniemen yksityistie,Sihvonniementie,,to,195
Sivinlahden yks.tie,Sivinlahdentie,,pe,199
Sulkavanrannan yks.tie,Sulkavanranta,,to,200
Suomäen yks.tie,Suomäki,Yhdistin kaksi pätkää,to,202
Suurijärven yks.tie,Suurijärventie,Läpiäntie samaa tiekuntaa,ke,204
Talvilahden yks.tie,Talvilahti,,to,207
Tasajärven yks.tie,Tasajärventie,,to,209
Telkkävuoron yks.tie,Telkkävuorentie,,pe,211
Tervatehtaan yks.tie,,Tervatehtaan yksityistie,,216
Uustaipaleen yks.tie,Uustaipale,,ke,221
Uutelan yks.tie,Uutelantie,,Ti,222
Vainion yks.tie,Vainiontie,,Ti,223
Vasikkasaaren yks.tie,Vasikkasaarentie,,pe,226
Veitsillan yks.tie,Veitsillantie,,ke,228
Venäläismäen yks.tie,Venäläismäentie,,pe,229
Vierulankujan yks.tie,Vierulankuja,,pe,231
Viikinäisten yks.tie,Viikinäistentie,,x,232
Viilajärven yks.tie,Viilajärventie,,to,233
Viinakoijan yks.tie,Viinakoijantie,,ke,234
Viitasaaen-Räsän yks.tie,Viitasaarentie,,ke,234
Voittolan yks.tie,Voittolantie,,to,236
Vuolin yksityistie,Vuolintie,,to,238
Ämmälahden yks.tie,Ämmälahdentie,,pe,250
